v1	v2	label
NP_937859.1	NP_009107.1	1
NP_005634.1	NP_004597.2	1
NP_000154.1	NP_072051.1	1
NP_001229.1	NP_001780.2	1
NP_000057.1	NP_001822.2	1
NP_001014809.1	NP_788276.1	1
NP_858045.1	NP_000035.2	1
NP_054726.1	NP_877428.1	1
NP_056981.2	NP_000456.1	1
NP_009097.2	AAH14214.1	1
NP_004283.2	NP_003397.1	1
NP_009330.1	NP_000407.1	1
NP_004347.1	NP_000213.1	1
NP_005632.1	NP_005633.2	1
NP_001886.1	NP_612482.2	1
NP_005408.1	NP_067651.2	1
NP_004248.2	NP_004320.2	1
NP_005154.2	NP_001633.1	1
NP_003347.1	NP_036611.2	1
NP_113618.2	NP_004628.4	1
NP_060876.3	NP_004439.2	1
NP_002779.1	NP_542417.1	1
NP_005640.2	NP_003737.1	1
NP_001886.1	NP_068660.1	1
NP_066361.1	NP_002871.1	1
NP_006171.2	NP_733930.1	1
NP_945320.1	NP_009209.1	1
NP_002341.1	NP_009112.1	1
CAA41990.1	NP_115754.2	1
NP_001096.1	NP_002945.1	1
NP_631961.1	NP_004597.2	1
NP_057457.1	NP_000537.3	1
Q01892	NP_002219.1	1
NP_003812.1	NP_005649.1	1
NP_000475.1	NP_036456.1	1
NP_002897.1	NP_000359.1	1
NP_005484.2	NP_002954.2	1
NP_065082.2	NP_003664.1	1
NP_004801.1	NP_000213.1	1
NP_055816.2	NP_006229.1	1
NP_003438.1	NP_659456.2	1
NP_002266.2	NP_787072.2	1
NP_003391.1	NP_001961.1	1
NP_001791.1	NP_078958.1	1
NP_004737.2	NP_036441.1	1
AAD39742.1	NP_037365.2	1
NP_002266.2	NP_612423.1	1
NP_000116.2	NP_001527.2	1
NP_005498.1	NP_036611.2	1
NP_056345.3	NP_003227.1	1
NP_055567.1	NP_056978.2	1
NP_005237.2	NP_002221.1	1
NP_001017963.1	NP_000375.2	1
NP_002793.2	NP_006839.2	1
NP_005892.1	NP_000772.1	1
NP_005044.1	NP_002941.1	1
NP_057625.1	NP_071448.1	1
NP_003185.1	NP_006090.2	1
NP_005139.1	NP_060791.3	1
NP_005391.1	NP_963868.1	1
NP_006262.1	NP_005971.1	1
NP_005755.1	NP_006824.2	1
NP_955631.1	NP_056132.1	1
NP_067080.1	NP_066268.1	1
NP_009107.1	NP_659451.1	1
NP_000892.1	NP_001091.1	1
NP_004413.1	NP_001008712.1	1
NP_008945.2	NP_001029.1	1
NP_004752.1	NP_056461.1	1
NP_001012271.1	NP_004337.2	1
NP_005892.1	NP_002725.1	1
NP_003833.3	NP_003780.1	1
NP_002058.2	NP_000614.1	1
NP_624302.1	NP_000583.2	1
NP_006384.1	NP_003452.1	1
NP_002564.1	NP_005997.2	1
NP_002125.3	NP_055525.3	1
NP_002592.1	NP_067075.1	1
P07910	NP_006839.2	1
NP_003884.1	NP_796372.1	1
NP_002730.1	NP_003156.1	1
NP_002383.2	NP_003461.1	1
NP_005634.1	NP_003185.1	1
NP_005630.1	NP_001019265.1	1
NP_005391.1	NP_000433.3	1
NP_055521.1	NP_000035.2	1
NP_060614.2	NP_000375.2	1
NP_005891.1	NP_001619.1	1
NP_004963.1	NP_003143.2	1
NP_002736.3	NP_066554.2	1
NP_003178.1	NP_005924.2	1
NP_001319.1	NP_003480.2	1
NP_005499.1	NP_002974.1	1
NP_064589.2	NP_005892.1	1
NP_062535.2	NP_001008709.1	1
NP_002367.4	NP_068375.3	1
NP_001008656.1	NP_001887.1	1
NP_000072.2	NP_008819.1	1
NP_001918.3	NP_001031.2	1
NP_005695.3	NP_002060.4	1
NP_001026897.1	NP_060649.3	1
NP_055130.1	NP_001034966.1	1
NP_002969.2	NP_001030.2	1
NP_005611.1	NP_006263.1	1
NP_000591.1	NP_005997.2	1
NP_001008493.1	NP_003452.1	1
NP_002816.1	NP_064516.2	1
NP_055512.1	NP_008881.2	1
NP_066970.2	NP_002583.1	1
NP_001969.1	NP_006395.2	1
NP_054782.2	NP_009112.1	1
NP_004122.1	AAD02233.1	1
NP_006097.1	NP_005418.1	1
NP_002505.1	NP_006477.2	1
NP_056485.2	NP_001420.2	1
NP_003091.2	NP_004293.1	1
NP_001559.1	NP_065147.1	1
NP_060923.2	NP_064516.2	1
NP_078918.3	P15941	1
NP_001096.1	NP_112214.1	1
NP_620777.1	NP_002736.3	1
NP_112226.2	NP_002871.1	1
NP_002858.2	NP_005891.1	1
NP_001194.1	NP_002945.1	1
NP_003255.2	NP_003290.1	1
NP_733745.1	NP_115791.2	1
NP_997246.2	NP_006144.1	1
NP_000367.1	NP_068811.1	1
NP_009225.1	NP_003487.1	1
NP_115498.2	NP_001381.2	1
NP_004279.3	NP_059431.1	1
NP_001649.1	NP_065875.2	1
NP_002695.1	NP_001034966.1	1
NP_002515.1	NP_057425.3	1
NP_005997.2	NP_060231.1	1
NP_006245.2	NP_006209.2	1
NP_057472.2	NP_002341.1	1
NP_000312.2	NP_009225.1	1
NP_874369.1	NP_001420.2	1
NP_009297.2	NP_001460.1	1
NP_002816.1	NP_002806.2	1
NP_001253.1	NP_068597.2	1
NP_001009944.1	NP_001006611.1	1
NP_008881.2	NP_002651.2	1
NP_056036.1	NP_543157.1	1
NP_003465.3	NP_001954.1	1
NP_001943.1	NP_005216.1	1
NP_620603.1	NP_660144.1	1
NP_002706.1	NP_006245.2	1
NP_006799.1	NP_055109.1	1
NP_001020330.1	NP_001903.1	1
NP_003585.3	NP_112533.1	1
CAC69380.1	NP_000824.1	1
NP_066288.2	NP_001073922.1	1
NP_000452.2	NP_004228.1	1
NP_005558.1	NP_000582.1	1
NP_001972.1	Q8NFH8	1
NP_203124.1	NP_004406.2	1
NP_001194.1	NP_071732.1	1
NP_005822.1	NP_443156.2	1
NP_003572.2	NP_005624.2	1
NP_003737.1	NP_861460.1	1
NP_858045.1	NP_003343.1	1
NP_115584.1	NP_612815.1	1
NP_054829.2	NP_009107.1	1
NP_001869.1	NP_001751.1	1
AAB94503.1	NP_444277.2	1
NP_004243.1	NP_003051.1	1
NP_001036068.1	NP_002886.2	1
NP_114120.2	NP_694994.2	1
NP_004746.2	NP_005162.1	1
NP_003484.1	NP_001915.1	1
NP_005616.2	NP_000818.1	1
NP_115955.1	NP_078994.2	1
NP_003241.2	NP_004951.1	1
NP_066305.2	NP_002389.1	1
NP_009297.2	NP_001744.2	1
NP_000669.1	NP_066301.1	1
NP_058644.1	NP_003396.1	1
NP_002680.2	NP_114406.1	1
NP_005234.1	NP_057682.1	1
NP_002266.2	NP_003067.3	1
NP_000045.1	NP_000481.2	1
NP_000817.2	NP_001073892.1	1
NP_005891.1	NP_003324.1	1
NP_006210.1	NP_000677.2	1
NP_004908.3	NP_001031.2	1
NP_001017963.1	NP_003945.2	1
NP_055296.2	NP_005822.1	1
NP_057016.1	NP_005540.1	1
NP_001005735.1	NP_006234.1	1
NP_077006.1	NP_004571.2	1
NP_002064.1	NP_000789.1	1
NP_000652.2	NP_066547.1	1
NP_001943.1	NP_009042.1	1
NP_003395.1	NP_689543.1	1
NP_001217.2	NP_003371.2	1
NP_758958.3	NP_001908.3	1
NP_005577.1	NP_057669.1	1
NP_002101.2	NP_060708.1	1
NP_858045.1	NP_444284.1	1
NP_443732.2	NP_068379.1	1
NP_001950.1	NP_002100.2	1
NP_001356.1	NP_000882.1	1
NP_003067.3	NP_005822.1	1
NP_009138.1	NP_620448.1	1
NP_002733.2	NP_001421.2	1
NP_009330.1	NP_004371.2	1
NP_006644.1	NP_000595.1	1
NP_789782.1	NP_689497.1	1
NP_000925.2	NP_001897.4	1
NP_000956.2	NP_149052.1	1
NP_055717.2	NP_000827.1	1
NP_055525.3	NP_001050.1	1
NP_036364.2	NP_031370.2	1
NP_003861.1	BAA88957.1	1
NP_036426.3	NP_002877.2	1
NP_000723.1	NP_004059.2	1
NP_055102.3	NP_064516.2	1
NP_000630.1	NP_003969.2	1
NP_000359.1	NP_006817.1	1
NP_003241.2	NP_056989.2	1
NP_852478.1	NP_391987.1	1
AAH00632.1	NP_005630.1	1
NP_002266.2	NP_005545.1	1
NP_006394.1	NP_065574.2	1
NP_008998.1	NP_002681.1	1
NP_004447.2	NP_077084.1	1
NP_758957.2	NP_057075.1	1
CAA89989.1	NP_006804.1	1
NP_115822.1	NP_003578.1	1
NP_003681.1	NP_006824.2	1
NP_003152.1	NP_115984.3	1
NP_002383.2	NP_003327.2	1
NP_005334.1	NP_055393.1	1
NP_000724.1	NP_003168.2	1
NP_003940.3	NP_115705.2	1
NP_003740.2	NP_002825.3	1
NP_116170.3	NP_002028.1	1
NP_000409.1	NP_006312.1	1
NP_001410.2	NP_003002.1	1
NP_004880.1	NP_001009999.1	1
NP_003946.3	NP_005202.2	1
NP_002560.1	NP_001013049.1	1
NP_005094.1	NP_000456.1	1
NP_004834.1	NP_009330.1	1
NP_000042.3	NP_002384.2	1
NP_002933.1	NP_003137.1	1
NP_000323.2	NP_003884.1	1
NP_003143.2	NP_000206.2	1
AAC08964.1	NP_000108.1	1
NP_004679.1	NP_002458.2	1
NP_003891.1	NP_005044.1	1
NP_003630.1	NP_001269.3	1
NP_006753.1	NP_149112.1	1
NP_002358.1	NP_060117.2	1
NP_005891.1	NP_000035.2	1
NP_976226.1	NP_061852.2	1
NP_060921.3	NP_002277.3	1
NP_004029.2	NP_005849.1	1
NP_055390.1	NP_005243.1	1
NP_631946.1	NP_077309.1	1
NP_004516.2	NP_000032.1	1
NP_005139.1	NP_005347.3	1
NP_057253.2	NP_665906.1	1
NP_002078.1	NP_005513.1	1
NP_005685.1	NP_006824.2	1
NP_937762.1	NP_002989.2	1
NP_647478.1	NP_001220.2	1
NP_005139.1	NP_002113.2	1
NP_003737.1	NP_000025.1	1
NP_066961.2	NP_005997.2	1
NP_004979.3	NP_036377.1	1
NP_055187.1	NP_003913.3	1
NP_036228.1	NP_005206.2	1
AAH00566.1	AAQ03994.1	1
NP_036233.2	NP_660215.1	1
NP_055062.1	NP_001895.1	1
NP_002778.1	NP_002783.1	1
NP_003011.1	NP_002585.2	1
NP_003499.1	NP_005421.1	1
NP_002988.3	NP_002816.1	1
NP_000112.1	NP_005179.2	1
NP_002728.1	NP_003370.2	1
NP_001226.2	NP_055048.1	1
NP_004413.1	NP_009126.1	1
NP_056292.1	NP_899196.1	1
NP_075067.2	NP_072097.2	1
NP_055048.1	NP_001886.1	1
NP_001252.1	NP_006212.1	1
NP_006411.1	NP_002725.1	1
NP_001005271.1	AAH17247.1	1
NP_001060.1	NP_055469.2	1
NP_002014.2	AAA50404.1	1
NP_003752.2	Q15531	1
NP_783552.1	NP_057512.1	1
NP_005852.2	NP_570722.2	1
NP_002258.2	NP_004636.1	1
NP_001777.1	NP_060962.2	1
NP_997080.1	NP_005424.1	1
NP_005893.1	NP_004646.2	1
NP_001054.1	NP_001737.1	1
NP_000537.3	NP_002281.1	1
NP_057661.3	NP_829884.1	1
NP_002255.2	NP_057353.1	1
NP_055830.1	NP_115662.2	1
NP_005576.3	NP_006107.1	1
NP_006144.1	NP_002600.1	1
NP_002721.1	NP_004956.5	1
NP_061828.1	BAC87138.1	1
NP_000360.2	NP_006414.1	1
NP_000902.3	NP_002060.4	1
NP_005617.2	NP_003940.3	1
NP_004603.1	NP_001822.2	1
NP_000524.3	NP_001020272.1	1
NP_001070667.1	NP_112738.1	1
NP_002222.1	NP_391987.1	1
NP_001020018.1	NP_114417.1	1
NP_057535.1	NP_006792.1	1
NP_001217.2	NP_008878.3	1
NP_004604.2	NP_000203.2	1
NP_001356.1	NP_004516.2	1
NP_000827.1	NP_002729.2	1
NP_002998.1	NP_064516.2	1
NP_000091.1	NP_001903.1	1
NP_006792.1	NP_001649.1	1
NP_005558.1	NP_001839.2	1
NP_001393.1	NP_004146.1	1
NP_001269.3	NP_006303.3	1
NP_001886.1	NP_000442.1	1
NP_003178.1	NP_036448.1	1
NP_005726.1	NP_001091.1	1
NP_003609.2	NP_003017.1	1
NP_005730.1	NP_005334.1	1
NP_004581.1	NP_001286.1	1
NP_073602.2	NP_005598.3	1
NP_002736.3	NP_000112.1	1
NP_000264.1	NP_002060.4	1
NP_001828.1	NP_005239.1	1
NP_056007.1	NP_005604.1	1
NP_005204.1	NP_680090.1	1
NP_000367.1	NP_005239.1	1
NP_036558.3	NP_036565.2	1
NP_055731.2	NP_006232.1	1
NP_005329.3	AAH14214.1	1
NP_001933.2	NP_009114.1	1
NP_000048.1	NP_002453.1	1
NP_055490.2	NP_803136.2	1
NP_000651.3	NP_000879.2	1
NP_003160.2	NP_006212.1	1
NP_067068.1	NP_009185.2	1
NP_036580.2	NP_006303.3	1
NP_003290.1	NP_003226.4	1
NP_009225.1	NP_061828.1	1
NP_775114.1	NP_002735.3	1
NP_536859.1	NP_004110.2	1
NP_000537.3	NP_001008709.1	1
NP_055717.2	NP_115568.2	1
AAD02233.1	AAH11837.2	1
NP_001075032.1	NP_064516.2	1
NP_003143.2	NP_002736.3	1
NP_001658.2	NP_002592.1	1
NP_065162.1	NP_060729.2	1
NP_060719.4	NP_057103.2	1
NP_002613.2	NP_006830.1	1
NP_060436.4	NP_004703.1	1
NP_001966.1	NP_055097.1	1
NP_057272.1	NP_064708.1	1
NP_008877.1	NP_001091.1	1
NP_056279.1	NP_001246.2	1
NP_003795.2	NP_066961.2	1
NP_001560.2	NP_612564.1	1
NP_055843.1	NP_006144.1	1
NP_006023.1	NP_777283.1	1
NP_001306.1	NP_004981.2	1
NP_060267.2	AAF19526.1	1
NP_004442.3	NP_149033.2	1
NP_004963.1	NP_005205.2	1
NP_003461.1	NP_060620.2	1
NP_005021.2	NP_004194.3	1
NP_002559.2	NP_002085.1	1
NP_006089.1	NP_112197.1	1
NP_003173.1	NP_997647.1	1
NP_000042.3	NP_006297.2	1
NP_002476.2	NP_001229.1	1
NP_009107.1	NP_064527.1	1
NP_874369.1	NP_002458.2	1
NP_000928.1	NP_009225.1	1
NP_055368.1	NP_055332.2	1
NP_003395.1	NP_068660.1	1
NP_031396.1	NP_005139.1	1
NP_003336.1	NP_002959.2	1
NP_005243.1	NP_001871.2	1
NP_002860.2	NP_000381.1	1
NP_006471.2	NP_002875.1	1
NP_852664.1	NP_000737.1	1
NP_002460.1	NP_002158.2	1
NP_001014809.1	NP_115500.1	1
AAQ86961.1	NP_000827.1	1
NP_004865.1	NP_001056.1	1
NP_002884.1	NP_003164.1	1
NP_004521.1	NP_085059.2	1
NP_057365.3	NP_001424.2	1
NP_000430.3	NP_000406.1	1
NP_003874.2	NP_644805.1	1
NP_874369.1	NP_000316.2	1
NP_079463.2	NP_065867.1	1
NP_001420.2	NP_002421.3	1
NP_060247.2	NP_065147.1	1
P10071	NP_003027.1	1
NP_000497.1	NP_004559.4	1
NP_859530.1	NP_003048.1	1
NP_037398.1	NP_001895.1	1
NP_000362.1	NP_036564.2	1
NP_005477.1	NP_056039.1	1
NP_001519.1	NP_000592.3	1
NP_002156.2	NP_783552.1	1
NP_207837.2	NP_296373.1	1
NP_002651.2	NP_067028.1	1
NP_055774.1	NP_001441.4	1
NP_009104.1	NP_056076.1	1
NP_005761.2	NP_005577.1	1
NP_060740.1	NP_996670.1	1
NP_000620.2	NP_997468.1	1
NP_473363.1	NP_003818.2	1
NP_932170.1	NP_006130.1	1
NP_000955.1	NP_054790.2	1
NP_001035.1	NP_000786.1	1
NP_001002255.1	NP_003895.1	1
NP_002721.1	NP_004324.2	1
NP_001427.2	NP_059107.1	1
NP_000859.1	NP_004304.1	1
NP_059345.1	NP_057232.2	1
NP_203699.1	NP_000475.1	1
NP_005138.2	NP_002866.2	1
NP_003817.1	NP_056285.1	1
NP_006696.1	NP_002835.2	1
NP_003293.2	NP_077721.1	1
NP_001339.1	NP_002735.3	1
NP_000909.2	NP_001757.1	1
NP_127497.1	NP_004338.1	1
NP_057250.1	NP_003336.1	1
NP_066124.1	NP_002736.3	1
NP_005405.1	NP_006302.2	1
NP_031379.2	NP_002728.1	1
NP_005234.1	NP_064585.1	1
NP_542937.1	NP_000494.2	1
NP_036611.2	NP_037409.2	1
NP_000714.3	NP_075461.2	1
NP_004999.1	NP_002680.2	1
NP_000292.1	NP_004559.4	1
NP_004706.3	NP_000929.1	1
AAH20590.1	NP_056146.1	1
NP_006531.1	NP_002948.1	1
BAA89210.1	NP_002583.1	1
NP_054790.2	NP_001460.1	1
NP_068581.1	AAH30590.1	1
NP_066961.2	NP_055517.3	1
NP_003965.2	NP_005347.3	1
NP_892113.3	NP_066189.2	1
NP_004844.1	NP_003818.2	1
NP_002730.1	NP_001334.2	1
NP_057065.2	NP_058519.2	1
NP_569736.1	NP_036377.1	1
NP_036611.2	NP_005879.1	1
NP_002397.1	BAA21128.1	1
NP_004299.1	Q14643	1
NP_001028687.1	NP_061817.1	1
NP_001195.2	NP_001060.1	1
NP_002871.1	NP_002145.3	1
NP_001931.2	NP_003293.2	1
NP_004327.1	NP_006312.1	1
NP_001388.1	NP_001946.2	1
NP_057563.3	NP_000537.3	1
NP_000917.3	NP_057250.1	1
NP_005528.3	NP_003397.1	1
NP_001902.1	NP_001076.2	1
NP_005629.1	NP_079495.1	1
NP_055191.2	NP_008921.1	1
NP_002729.2	NP_000156.1	1
NP_004654.1	NP_000012.1	1
NP_003648.1	NP_003737.1	1
NP_004644.2	NP_001011663.1	1
NP_071356.1	NP_115708.1	1
NP_443096.1	NP_536737.3	1
NP_068713.2	NP_005484.2	1
NP_003844.1	NP_001553.1	1
NP_002729.2	NP_006167.1	1
NP_006752.1	NP_000539.2	1
NP_004124.4	NP_006804.1	1
NP_004949.1	NP_065812.1	1
NP_004300.1	NP_006269.1	1
NP_001002255.1	NP_038470.1	1
NP_892113.3	NP_002438.1	1
NP_005671.1	NP_000537.3	1
NP_056284.1	NP_057632.2	1
NP_733765.1	NP_003740.2	1
NP_006604.1	NP_055202.1	1
NP_003244.2	NP_002730.1	1
NP_006069.1	NP_000818.1	1
NP_001019801.2	NP_005672.1	1
NP_006087.2	NP_001014.1	1
NP_659480.1	NP_001420.2	1
NP_004146.1	AAF19526.1	1
NP_002241.1	NP_002724.1	1
NP_001559.1	NP_003940.3	1
NP_005834.3	NP_000206.2	1
NP_004570.2	NP_066961.2	1
NP_001471.1	NP_057057.2	1
NP_003891.1	NP_003627.1	1
NP_067637.2	NP_002060.4	1
NP_000323.2	NP_001025053.1	1
NP_891548.1	NP_002219.1	1
NP_038474.1	NP_852480.1	1
NP_004417.2	NP_006588.1	1
NP_570720.1	NP_037364.1	1
NP_002119.1	NP_009107.1	1
NP_036611.2	NP_004563.2	1
NP_003121.1	NP_001026.2	1
NP_001019978.1	NP_003197.2	1
NP_001460.1	NP_002102.4	1
NP_078799.2	NP_057285.3	1
NP_000130.1	NP_002077.1	1
NP_003346.2	NP_003397.1	1
NP_003397.1	NP_005535.1	1
NP_065145.2	NP_150628.2	1
NP_733832.1	NP_060644.4	1
NP_006368.3	NP_003577.2	1
NP_005347.3	NP_852664.1	1
NP_004508.1	NP_066932.1	1
NP_002196.2	NP_075261.1	1
NP_006793.1	NP_006860.1	1
NP_612482.2	NP_002688.2	1
NP_004318.3	NP_003396.1	1
NP_001020330.1	NP_002113.2	1
NP_002712.1	NP_001542.1	1
NP_001561.3	NP_001560.2	1
NP_000452.2	NP_068811.1	1
NP_775736.2	NP_057284.1	1
NP_057424.2	NP_066361.1	1
NP_003216.1	NP_872342.2	1
NP_001005355.1	NP_065393.1	1
NP_071935.1	NP_061887.2	1
NP_005299.1	NP_000697.1	1
NP_000975.2	NP_006382.1	1
NP_003336.1	NP_789782.1	1
NP_003874.2	NP_006028.1	1
NP_036611.2	NP_001265.1	1
NP_116259.1	AAB48304.1	1
NP_006592.3	NP_006810.1	1
NP_005892.1	NP_003274.2	1
NP_001973.2	P15941	1
NP_003835.2	NP_001073594.1	1
NP_004337.2	BAA18998.1	1
NP_005021.2	NP_001005333.1	1
NP_057645.1	NP_001073594.1	1
NP_055901.1	NP_056053.1	1
NP_005461.2	NP_005624.2	1
NP_002829.2	NP_001762.1	1
NP_006410.1	NP_001707.1	1
NP_001008493.1	NP_061928.4	1
NP_005329.3	NP_001005.1	1
NP_061329.3	NP_005264.2	1
NP_072166.1	NP_005350.1	1
NP_001073286.1	NP_002077.1	1
NP_006140.1	NP_005710.1	1
NP_006501.1	NP_004179.2	1
NP_001542.1	NP_000372.1	1
NP_945327.1	NP_001645.1	1
NP_061154.1	NP_076974.1	1
NP_004675.2	NP_000302.1	1
NP_002860.2	NP_002667.1	1
NP_071330.3	NP_061485.1	1
NP_000240.1	NP_689543.1	1
NP_002736.3	NP_115984.3	1
AAH06201.1	NP_060560.1	1
NP_444252.1	NP_076422.1	1
NP_004975.2	NP_068707.1	1
BAA92038.1	NP_115689.1	1
NP_001013861.1	NP_005393.2	1
NP_066964.1	NP_005517.1	1
NP_004374.1	NP_005347.3	1
NP_861445.3	NP_536859.1	1
NP_065746.3	NP_003189.1	1
NP_003833.3	NP_001073594.1	1
AAH07560.1	NP_004459.2	1
NP_975010.1	NP_001057.1	1
NP_000261.1	NP_068597.2	1
NP_001075106.1	NP_002107.3	1
NP_653086.1	NP_001663.2	1
NP_056085.1	NP_000323.2	1
NP_001137.2	NP_002196.2	1
NP_954986.2	NP_000336.1	1
NP_003815.1	NP_005585.1	1
NP_001918.3	NP_004406.2	1
NP_003749.2	NP_003741.1	1
NP_001078923.1	NP_001035919.1	1
NP_006624.2	NP_001005386.1	1
NP_006262.1	NP_001918.3	1
NP_009133.2	NP_002725.1	1
NP_002084.2	NP_068779.1	1
NP_001194.1	NP_003274.2	1
NP_005850.1	NP_000312.2	1
NP_002568.2	NP_001092759.1	1
NP_054762.2	NP_057163.1	1
NP_037390.2	NP_150634.1	1
NP_002721.1	NP_848928.1	1
